time,time,ci
2019-01-02 21:05:00,2019-01-02 21:05:00,0.006954009820912187
2019-01-02 21:10:00,2019-01-02 21:10:00,0.006512046022049715
2019-01-02 21:15:00,2019-01-02 21:15:00,0.00460716989341928
2019-01-02 21:20:00,2019-01-02 21:20:00,0.006378780816135324
2019-01-02 21:25:00,2019-01-02 21:25:00,0.007485541406772754
2019-01-02 21:30:00,2019-01-02 21:30:00,0.010975779008759214
2019-01-02 21:35:00,2019-01-02 21:35:00,0.005891759963596407
2019-01-02 21:40:00,2019-01-02 21:40:00,0.0048025290209958915
2019-01-02 21:45:00,2019-01-02 21:45:00,0.00750474542343726
2019-01-02 21:50:00,2019-01-02 21:50:00,0.008798474808451627
2019-01-02 21:55:00,2019-01-02 21:55:00,0.006198128814851388
2019-01-02 22:00:00,2019-01-02 22:00:00,0.009913157355019695
2019-01-02 22:05:00,2019-01-02 22:05:00,0.007676629666569252
2019-01-02 22:10:00,2019-01-02 22:10:00,0.008310865700727015
2019-01-02 22:15:00,2019-01-02 22:15:00,0.009355773626153798
2019-01-02 22:20:00,2019-01-02 22:20:00,0.010851684927405934
2019-01-02 22:25:00,2019-01-02 22:25:00,0.009526686359031698
2019-01-02 22:30:00,2019-01-02 22:30:00,0.009469681287402896
2019-01-02 22:35:00,2019-01-02 22:35:00,0.008646038727008747
2019-01-02 22:40:00,2019-01-02 22:40:00,0.006016049793882166
2019-01-02 22:45:00,2019-01-02 22:45:00,0.011896389359730664
2019-01-02 22:50:00,2019-01-02 22:50:00,0.011832418572128304
2019-01-02 22:55:00,2019-01-02 22:55:00,0.013948553039212934
2019-01-02 23:00:00,2019-01-02 23:00:00,0.015306548805664262
2019-01-02 23:05:00,2019-01-02 23:05:00,0.020922424741550764
2019-01-02 23:10:00,2019-01-02 23:10:00,0.016740981618533598
2019-01-02 23:15:00,2019-01-02 23:15:00,0.019109024935298143
2019-01-02 23:20:00,2019-01-02 23:20:00,0.024134021337724982
2019-01-02 23:25:00,2019-01-02 23:25:00,0.021575117556831787
2019-01-02 23:30:00,2019-01-02 23:30:00,0.028260593226464972
2019-01-02 23:35:00,2019-01-02 23:35:00,0.017783416919529237
2019-01-03 16:05:00,2019-01-03 16:05:00,0.018056762504238145
2019-01-03 16:10:00,2019-01-03 16:10:00,0.08262494535050546
2019-01-03 16:15:00,2019-01-03 16:15:00,0.037343649170394455
2019-01-03 16:20:00,2019-01-03 16:20:00,0.01363439284120793
2019-01-03 16:25:00,2019-01-03 16:25:00,0.024825152230234144
2019-01-03 16:30:00,2019-01-03 16:30:00,0.006233862799471474
2019-01-03 16:35:00,2019-01-03 16:35:00,0.01990242252521171
2019-01-03 16:40:00,2019-01-03 16:40:00,0.011291004083891377
2019-01-03 16:45:00,2019-01-03 16:45:00,0.019810750114636944
2019-01-03 16:50:00,2019-01-03 16:50:00,0.01838744828222435
2019-01-03 16:55:00,2019-01-03 16:55:00,0.014494574316018059
2019-01-03 17:00:00,2019-01-03 17:00:00,0.011403023769871158
2019-01-03 17:05:00,2019-01-03 17:05:00,0.005711446949642831
2019-01-03 17:10:00,2019-01-03 17:10:00,0.007968203302842747
2019-01-03 17:15:00,2019-01-03 17:15:00,0.003522358526624069
2019-01-03 17:20:00,2019-01-03 17:20:00,0.0047626100111087845
2019-01-03 17:25:00,2019-01-03 17:25:00,0.0016840963301855709
2019-01-03 17:30:00,2019-01-03 17:30:00,0.003798784181976694
2019-01-03 17:35:00,2019-01-03 17:35:00,0.004120590963093395
2019-01-03 17:40:00,2019-01-03 17:40:00,0.008553979262615466
2019-01-03 17:45:00,2019-01-03 17:45:00,0.004280309711924855
2019-01-03 17:50:00,2019-01-03 17:50:00,0.004128687887373496
2019-01-03 17:55:00,2019-01-03 17:55:00,0.002315856222193147
2019-01-03 18:00:00,2019-01-03 18:00:00,0.006984582073923866
2019-01-03 18:05:00,2019-01-03 18:05:00,0.004256835589749636
2019-01-03 18:10:00,2019-01-03 18:10:00,0.0077542381261689365
2019-01-03 18:15:00,2019-01-03 18:15:00,0.005109834242529943
2019-01-03 18:20:00,2019-01-03 18:20:00,0.006278600959512125
2019-01-03 18:25:00,2019-01-03 18:25:00,0.01305979399039652
2019-01-03 18:30:00,2019-01-03 18:30:00,0.008419976116649068
2019-01-03 18:35:00,2019-01-03 18:35:00,0.004434857671693323
2019-01-03 18:40:00,2019-01-03 18:40:00,0.0064235403282090235
2019-01-03 18:45:00,2019-01-03 18:45:00,0.004316153516955133
